Date,Rolling variance
2021-09-09,3916515.7453158363
2021-09-10,4047398.367197661
2021-09-11,3882156.7750804704
2021-09-12,3997840.210899825
2021-09-13,4263243.599462469
2021-09-14,4260956.905446458
2021-09-15,4149337.7698409776
2021-09-16,3790720.1716999197
2021-09-17,3453682.9101988426
2021-09-18,3390713.000827384
2021-09-19,3358401.7128979773
2021-09-20,4221257.710477076
2021-09-21,5819615.936591303
2021-09-22,6186223.995466089
2021-09-23,6380769.808137874
2021-09-24,6910552.169965983
2021-09-25,7538103.852007356
2021-09-26,7812972.205766111
2021-09-27,8289849.07483928
2021-09-28,9060266.956926942
2021-09-29,9754786.76703687
2021-09-30,9875207.980486965
2021-10-01,9746592.970774837
2021-10-02,9453318.056344338
2021-10-03,9040202.809189651
2021-10-04,8825566.033967389
2021-10-05,8729055.772865392
2021-10-06,10269290.77769794
2021-10-07,12360998.193107782
2021-10-08,14430179.56259593
2021-10-09,16905739.210990723
2021-10-10,18968770.01171952
2021-10-11,22502338.672365915
2021-10-12,24917145.24358779
2021-10-13,27718350.186715245
2021-10-14,30478584.82710367
2021-10-15,36212764.93652913
2021-10-16,40920432.24489909
2021-10-17,45672764.27272905
2021-10-18,50506185.573463134
2021-10-19,56596693.34510095
2021-10-20,61677245.20564933
2021-10-21,60893029.302564934
2021-10-22,60313474.378716365
2021-10-23,60267703.80242029
2021-10-24,57927360.932354674
2021-10-25,55792571.37305563
2021-10-26,51959506.64282314
2021-10-27,46106680.09589977
2021-10-28,38877435.19297643
2021-10-29,31816779.028204393
2021-10-30,26004334.68083941
2021-10-31,22999293.09314149
2021-11-01,19238705.650210205
2021-11-02,15903008.193113402
2021-11-03,12680573.96697124
2021-11-04,10400822.44209249
2021-11-05,9674088.46809391
2021-11-06,8273727.234711685
2021-11-07,7025608.847788561
2021-11-08,7304038.650633614
2021-11-09,6892860.0973546645
2021-11-10,6660352.012927588
2021-11-11,5758988.338335898
2021-11-12,5085787.0590781765
2021-11-13,4316855.398571567
2021-11-14,4554939.4021914005
2021-11-15,4458797.050198899
2021-11-16,4642376.9590469105
2021-11-17,4816339.816799207
2021-11-18,5809152.302444494
2021-11-19,5949955.719219458
2021-11-20,6155973.694454971
2021-11-21,6474793.783956918
2021-11-22,7569097.104684966
2021-11-23,8162393.090359507
2021-11-24,9085473.803810518
2021-11-25,9651506.696315033
2021-11-26,11452812.98638667
2021-11-27,12832693.930709602
2021-11-28,13260632.68016935
2021-11-29,13538117.42779328
2021-11-30,13993623.22910116
2021-12-01,14368858.46048198
2021-12-02,14616035.29856037
2021-12-03,15799062.596562559
2021-12-04,19540141.99791679
2021-12-05,22869943.461312294
2021-12-06,25074447.040688142
2021-12-07,26440965.936731063
2021-12-08,25325626.65365673
2021-12-09,25538520.74098027
2021-12-10,26450759.862224486
2021-12-11,25539705.98048177
2021-12-12,24267266.660660576
2021-12-13,23877557.95710617
2021-12-14,22103079.00740129
2021-12-15,19968790.881302282
2021-12-16,19753790.171504237
2021-12-17,19689713.664885968
