Timestamp,Test_Data,Forecast,Test_Data BTC-USD,Test_Data forecast BTC-USD
114,10.194432776562989,10.044883689964752,26753.82617200002,23037.61721479119
115,10.198068672138769,10.043392238819704,26851.277343999995,23003.283344226722
116,10.21191763479125,10.043889389201386,27225.726563000022,23014.722278520905
117,10.178647234570748,10.043889389201386,26334.81835899999,23014.722278520905
118,10.184001760780683,10.04438653958307,26476.207030999987,23026.166901099532
119,10.193141093466219,10.043392238819704,26719.291016000006,23003.283344226722
120,10.19870442381099,10.042895088438021,26868.353515999996,22991.85009538967
121,10.243013923537282,10.043889389201386,28085.646484000015,23014.722278520905
122,10.230842811456814,10.044883689964752,27745.884765999996,23037.61721479119
123,10.229272512007729,10.04438653958307,27702.349608999986,23026.166901099532
124,10.211694719293408,10.04438653958307,27219.658203,23026.166901099532
125,10.196902137297492,10.044883689964752,26819.972656000024,23037.61721479119
126,10.212793748381783,10.043889389201386,27249.58984399998,23014.722278520905
127,10.206370832928956,10.045380840346434,27075.128905999984,23049.073222425886
128,10.20799231690427,10.044883689964752,27119.06640599999,23037.61721479119
129,10.156581971204893,10.045380840346434,25760.097656000013,23049.073222425886
130,10.212397089772345,10.04090648691129,27238.783203000006,22946.17389811776
131,10.179071665660869,10.045380840346434,26345.998046999983,23049.073222425886
132,10.185210031724544,10.043889389201386,26508.216796999983,23014.722278520905
133,10.18415917158209,10.043889389201386,26480.375000000015,23014.722278520905
134,10.160113856890112,10.043392238819704,25851.240234000004,23003.283344226722
135,10.163547933138599,10.042397938056338,25940.16796899999,22980.42252918396
136,10.162094768125908,10.042397938056338,25902.50000000002,22980.42252918396
137,10.16272109509635,10.041403637292973,25918.72851600001,22957.58443337034
138,10.13160574103931,10.041900787674656,25124.675780999994,22969.000642785217
139,10.149425116449603,10.039415035766242,25576.394531000005,22911.976309138725
140,10.178367889738993,10.042397938056338,26327.46289100001,22980.42252918396
141,10.185302790508526,10.042397938056338,26510.67578100002,22980.42252918396
142,10.178700187093881,10.043392238819704,26336.212891000003,23003.283344226722
143,10.198059434286039,10.042397938056338,26851.029296999994,22980.42252918396
144,10.251587929557699,10.043392238819704,28327.488281000016,23003.283344226722
145,10.309862142773344,10.04836374263653,30027.296874999978,23117.928999698648
146,10.30602441919365,10.051346644926626,29912.281249999993,23186.990473661168
147,10.331870324961804,10.051346644926626,30695.468750000004,23186.990473661168
148,10.327077257075677,10.049855193781578,30548.695313000015,23152.433986231077
149,10.324834596345083,10.050849494544945,30480.261718999995,23175.465917453264
150,10.317949760386316,10.0463751411098,30271.130858999997,23072.0023308518
151,10.33163232383024,10.04836374263653,30688.164062999993,23117.928999698648
152,10.31182340590922,10.049855193781578,30086.24609400002,23152.433986231077
153,10.323688603455063,10.045877990728117,30445.351562999975,23060.53492683515
154,10.324735846713704,10.046872291491482,30477.251953000003,23083.475437310062
155,10.328430991080884,10.04836374263653,30590.07812500001,23117.928999698648
156,10.329433800541864,10.050352344163262,30620.769531000016,23163.94708925888
157,10.346776226863977,10.049855193781578,31156.439453000025,23152.433986231077
158,10.33454184780942,10.050849494544945,30777.582030999984,23175.465917453264
159,10.32594631430854,10.049358043399897,30514.16601599999,23140.92660552433
160,10.305926014668843,10.046872291491482,29909.33789100002,23083.475437310062
161,10.320296924636603,10.0463751411098,30342.265624999993,23072.0023308518
162,10.318656790103276,10.047866592254849,30292.541016000014,23106.438768895736
163,10.314644245303557,10.0463751411098,30171.23437499998,23072.0023308518
164,10.322673784104614,10.046872291491482,30414.47070300002,23083.475437310062
165,10.32943973247839,10.047369441873165,30620.951171999994,23094.95424904569
166,10.321923062923002,10.050849494544945,30391.646484000026,23175.465917453264
167,10.356982180930835,10.047369441873165,31476.048828000025,23094.95424904569
168,10.320026728152682,10.048860893018214,30334.068359000015,23129.42494429442
169,10.318764587233563,10.046872291491482,30295.80664099998,23083.475437310062
170,10.31722279570923,10.047369441873165,30249.132813000022,23094.95424904569
171,10.313803830402732,10.045877990728117,30145.888671999986,23060.53492683515
172,10.304159943903676,10.046872291491482,29856.562500000007,23083.475437310062
173,10.30607933084978,10.043889389201386,29913.923828000003,23014.722278520905
174,10.301995704546313,10.046872291491482,29792.015625000007,23083.475437310062
175,10.305906162812018,10.043889389201386,29908.744141000014,23014.722278520905
176,10.301317007567752,10.044883689964752,29771.802733999997,23037.61721479119
177,10.31176666638036,10.045877990728117,30084.539062999997,23060.53492683515
178,10.281133128211733,10.0463751411098,29176.916016,23072.0023308518
179,10.282861583679122,10.043889389201386,29227.390625000007,23014.722278520905
180,10.28721723700407,10.04438653958307,29354.97265600001,23026.166901099532
181,10.282289998424012,10.04438653958307,29210.689452999974,23026.166901099532
182,10.285999442641353,10.044883689964752,29319.246094000013,23037.61721479119
183,10.287283503410414,10.044883689964752,29356.917969000002,23037.61721479119
184,10.284499729622999,10.044883689964752,29275.308594000002,23037.61721479119
185,10.282954666787742,10.043889389201386,29230.11132800002,23014.722278520905
186,10.298084900622317,10.045380840346434,29675.732421999983,23049.073222425886
187,10.280277393088333,10.045380840346434,29151.958984000015,23049.073222425886
188,10.281193573897507,10.044883689964752,29178.679688000004,23037.61721479119
189,10.277602740338375,10.045877990728117,29074.091797000023,23060.53492683515
190,10.27650270843985,10.043889389201386,29042.126952999984,23014.722278520905
191,10.276493360458232,10.043392238819704,29041.855469000016,23003.283344226722
192,10.281258634252001,10.043392238819704,29180.578124999996,23003.283344226722
193,10.301105021247853,10.045877990728117,29765.492188000007,23060.53492683515
194,10.294227919826678,10.043889389201386,29561.49414099999,23014.722278520905
195,10.289755970828912,10.045380840346434,29429.591796999986,23049.073222425886
196,10.288672223911362,10.04438653958307,29397.714844,23026.166901099532
197,10.289292827848493,10.045877990728117,29415.96484400002,23060.53492683515
198,10.284759487132625,10.045877990728117,29282.914063000004,23060.53492683515
199,10.289037101177515,10.043889389201386,29408.44335899999,23014.722278520905
200,10.280907981062942,10.045380840346434,29170.347655999984,23049.073222425886
201,10.264714396237164,10.044883689964752,28701.779296999983,23037.61721479119
202,10.19109027612737,10.043889389201386,26664.550780999984,23014.722278520905
203,10.167756027497331,10.037426434239512,26049.556640999992,22866.458791172896
204,10.169545183428935,10.038420735002877,26096.205078,22889.206235631027
205,10.173117052839515,10.037426434239512,26189.583984000023,22866.458791172896
206,10.170615093989227,10.037923584621193,26124.140625000015,22877.829686176825
207,10.167068624469975,10.037426434239512,26031.656250000022,22866.458791172896
208,10.182317080019136,10.037426434239512,26431.64062500002,22866.458791172896
209,10.172077514262787,10.039415035766242,26162.37304699998,22911.976309138725
210,10.167683521830668,10.038420735002877,26047.667968999987,22889.206235631027
