timestamp,Close,Volume,value,value_classification,log_Close,Log Close Diff
2023-05-06,28904.623047,15913866714,60,Greed,10.271756828331386,-0.02155362051751908
2023-05-07,28454.978516,11301355486,64,Greed,10.256078416020246,-0.01567841231113931
2023-05-08,27694.273438,19122903752,60,Greed,10.228980935712533,-0.027097480307713084
2023-05-09,27658.775391,14128593256,51,Neutral,10.227698330594391,-0.001282605118142044
2023-05-10,27621.755859,20656025026,52,Neutral,10.226358996955703,-0.0013393336386879895
2023-05-11,27000.789063,16724343943,52,Neutral,10.203621369114993,-0.022737627840710317
2023-05-12,26804.990234,19313599897,49,Neutral,10.19634335192656,-0.007278017188433239
2023-05-13,26784.078125,9999171605,48,Neutral,10.195562890138293,-0.0007804617882669618
2023-05-14,26930.638672,10014858959,48,Neutral,10.20101990152888,0.0054570113905878515
2023-05-15,27192.693359,14413231792,50,Neutral,10.210703589690173,0.009683688161292281
2023-05-16,27036.650391,12732238816,54,Neutral,10.204948646411141,-0.005754943279031366
2023-05-17,27398.802734,15140006925,50,Neutral,10.218254595582055,0.013305949170913323
2023-05-18,26832.208984,15222938600,51,Neutral,10.197358272643273,-0.020896322938781964
2023-05-19,26890.128906,11258983301,48,Neutral,10.199514543078122,0.002156270434849006
2023-05-20,27129.585938,7044911360,48,Neutral,10.208380143391283,0.008865600313161082
2023-05-21,26753.826172,8647416921,52,Neutral,10.194432776562989,-0.013947366828293895
2023-05-22,26851.277344,11056770492,49,Neutral,10.198068672138769,0.003635895575779813
2023-05-23,27225.726563,13697203143,50,Neutral,10.21191763479125,0.013848962652481589
2023-05-24,26334.818359,16299104428,50,Neutral,10.178647234570748,-0.03327040022050198
2023-05-25,26476.207031,13851122697,51,Neutral,10.184001760780683,0.005354526209934818
2023-05-26,26719.291016,12711619225,49,Neutral,10.193141093466219,0.00913933268553535
2023-05-27,26868.353516,7892015141,48,Neutral,10.19870442381099,0.005563330344770634
2023-05-28,28085.646484,14545229578,50,Neutral,10.243013923537282,0.0443094997262925
2023-05-29,27745.884766,15181308984,52,Neutral,10.230842811456814,-0.01217111208046795
2023-05-30,27702.349609,13251081851,51,Neutral,10.229272512007729,-0.0015702994490851552
2023-05-31,27219.658203,15656371534,51,Neutral,10.211694719293408,-0.01757779271432014
2023-06-01,26819.972656,14678970415,52,Neutral,10.196902137297492,-0.014792581995916265
2023-06-02,27249.589844,14837415000,50,Neutral,10.212793748381783,0.015891611084290602
2023-06-03,27075.128906,8385597470,53,Neutral,10.206370832928956,-0.006422915452827027
2023-06-04,27119.066406,9360912318,52,Neutral,10.20799231690427,0.00162148397531503
2023-06-05,25760.097656,21513292646,53,Neutral,10.156581971204893,-0.0514103456993773
2023-06-06,27238.783203,21929670693,44,Fear,10.212397089772345,0.055815118567451805
2023-06-07,26345.998047,19530045082,53,Neutral,10.179071665660869,-0.03332542411147621
2023-06-08,26508.216797,11904824295,50,Neutral,10.185210031724544,0.006138366063675349
2023-06-09,26480.375,11015551640,50,Neutral,10.18415917158209,-0.0010508601424543684
2023-06-10,25851.240234,19872933189,49,Neutral,10.160113856890112,-0.024045314691978348
2023-06-11,25940.167969,10732609603,47,Neutral,10.163547933138599,0.003434076248487017
2023-06-12,25902.5,11677889997,47,Neutral,10.162094768125908,-0.0014531650126912155
2023-06-13,25918.728516,14143474486,45,Fear,10.16272109509635,0.0006263269704422925
2023-06-14,25124.675781,14265717766,46,Fear,10.13160574103931,-0.031115354057039468
2023-06-15,25576.394531,15837384409,41,Fear,10.149425116449603,0.017819375410292437
2023-06-16,26327.462891,16324646965,47,Neutral,10.178367889738993,0.028942773289390544
2023-06-17,26510.675781,11090276850,47,Neutral,10.185302790508526,0.006934900769532959
2023-06-18,26336.212891,9565695129,49,Neutral,10.178700187093881,-0.006602603414645358
2023-06-19,26851.029297,12826986222,47,Neutral,10.198059434286039,0.01935924719215798
2023-06-20,28327.488281,22211859147,49,Neutral,10.251587929557699,0.05352849527166015
2023-06-21,30027.296875,33346760979,59,Greed,10.309862142773344,0.058274213215645077
2023-06-22,29912.28125,20653160491,65,Greed,10.30602441919365,-0.0038377235796946962
2023-06-23,30695.46875,24115570085,65,Greed,10.331870324961804,0.025845905768154154
2023-06-24,30548.695313,12147822496,62,Greed,10.327077257075677,-0.004793067886126323
2023-06-25,30480.261719,12703464114,64,Greed,10.324834596345083,-0.0022426607305945367
2023-06-26,30271.130859,16493186997,55,Greed,10.317949760386316,-0.006884835958766544
2023-06-27,30688.164063,16428827944,59,Greed,10.33163232383024,0.013682563443923712
2023-06-28,30086.246094,14571500779,62,Greed,10.31182340590922,-0.019808917921020353
2023-06-29,30445.351563,13180860821,54,Neutral,10.323688603455063,0.011865197545843031
2023-06-30,30477.251953,26387306197,56,Greed,10.324735846713704,0.0010472432586414726
2023-07-01,30590.078125,9086606733,59,Greed,10.328430991080884,0.003695144367179992
2023-07-02,30620.769531,10533418042,63,Greed,10.329433800541864,0.0010028094609797478
2023-07-03,31156.439453,15271884873,62,Greed,10.346776226863977,0.017342426322112914
2023-07-04,30777.582031,12810828427,64,Greed,10.33454184780942,-0.012234379054556044
2023-07-05,30514.166016,12481622280,61,Greed,10.32594631430854,-0.008595533500880492
2023-07-06,29909.337891,21129219509,56,Greed,10.305926014668843,-0.02002029963969676
2023-07-07,30342.265625,13384770155,55,Greed,10.320296924636603,0.01437090996775936
2023-07-08,30292.541016,7509378699,58,Greed,10.318656790103276,-0.001640134533326787
2023-07-09,30171.234375,7903327692,55,Greed,10.314644245303557,-0.004012544799719464
2023-07-10,30414.470703,14828209155,56,Greed,10.322673784104614,0.008029538801057612
2023-07-11,30620.951172,12151839152,57,Greed,10.32943973247839,0.006765948373775643
2023-07-12,30391.646484,14805659717,64,Greed,10.321923062923002,-0.007516669555387878
2023-07-13,31476.048828,23686079548,57,Greed,10.356982180930835,0.035059118007833234
2023-07-14,30334.068359,20917902660,60,Greed,10.320026728152682,-0.036955452778153486
2023-07-15,30295.806641,8011667756,56,Greed,10.318764587233563,-0.0012621409191186928
2023-07-16,30249.132813,8516564470,57,Greed,10.31722279570923,-0.0015417915243336466
2023-07-17,30145.888672,13240156074,54,Neutral,10.313803830402732,-0.0034189653064977676
2023-07-18,29856.5625,13138897269,56,Greed,10.304159943903676,-0.00964388649905601
2023-07-19,29913.923828,12128602812,50,Neutral,10.30607933084978,0.0019193869461044955
2023-07-20,29792.015625,14655207121,56,Greed,10.301995704546313,-0.004083626303467369
2023-07-21,29908.744141,10972789818,50,Neutral,10.305906162812018,0.003910458265705685
2023-07-22,29771.802734,7873300598,52,Neutral,10.301317007567752,-0.004589155244266507
2023-07-23,30084.539063,9220145050,54,Neutral,10.31176666638036,0.01044965881260751
2023-07-24,29176.916016,15395817395,55,Greed,10.281133128211733,-0.030633538168626018
2023-07-25,29227.390625,10266772793,50,Neutral,10.282861583679122,0.0017284554673882013
2023-07-26,29354.972656,13497554655,51,Neutral,10.28721723700407,0.00435565332494825
2023-07-27,29210.689453,10770779217,51,Neutral,10.282289998424012,-0.0049272385800573915
2023-07-28,29319.246094,11218474952,52,Neutral,10.285999442641353,0.0037094442173408737
2023-07-29,29356.917969,6481775959,52,Neutral,10.287283503410414,0.0012840607690609573
2023-07-30,29275.308594,8678454527,52,Neutral,10.284499729622999,-0.0027837737874154556
2023-07-31,29230.111328,11656781982,50,Neutral,10.282954666787742,-0.0015450628352571272
2023-08-01,29675.732422,18272392391,53,Neutral,10.298084900622317,0.01513023383457579
2023-08-02,29151.958984,19212655598,53,Neutral,10.280277393088333,-0.01780750753398408
2023-08-03,29178.679688,12780357746,52,Neutral,10.281193573897507,0.0009161808091739942
2023-08-04,29074.091797,12036639988,54,Neutral,10.277602740338375,-0.003590833559131923
2023-08-05,29042.126953,6598366353,50,Neutral,10.27650270843985,-0.0011000318985256996
2023-08-06,29041.855469,7269806994,49,Neutral,10.276493360458232,-9.347981617224832e-06
2023-08-07,29180.578125,13618163710,49,Neutral,10.281258634252001,0.004765273793768898
2023-08-08,29765.492188,17570561357,54,Neutral,10.301105021247853,0.019846386995851617
2023-08-09,29561.494141,18379521213,50,Neutral,10.294227919826678,-0.006877101421174814
2023-08-10,29429.591797,11865344789,53,Neutral,10.289755970828912,-0.004471948997766262
2023-08-11,29397.714844,10195168197,51,Neutral,10.288672223911362,-0.001083746917549533
2023-08-12,29415.964844,6194358008,54,Neutral,10.289292827848493,0.0006206039371310368
2023-08-13,29282.914063,7329897180,54,Neutral,10.284759487132625,-0.004533340715868306
2023-08-14,29408.443359,14013695304,50,Neutral,10.289037101177515,0.004277614044889688
2023-08-15,29170.347656,12640195779,53,Neutral,10.280907981062942,-0.008129120114572785
2023-08-16,28701.779297,14949271904,52,Neutral,10.264714396237164,-0.016193584825778373
2023-08-17,26664.550781,31120851211,50,Neutral,10.19109027612737,-0.07362412010979291
2023-08-18,26049.556641,24026236529,37,Fear,10.167756027497331,-0.02333424863003941
2023-08-19,26096.205078,10631443812,39,Fear,10.169545183428935,0.001789155931604114
2023-08-20,26189.583984,9036580420,37,Fear,10.173117052839515,0.003571869410579964
2023-08-21,26124.140625,13371557893,38,Fear,10.170615093989227,-0.002501958850288588
2023-08-22,26031.65625,14503820706,37,Fear,10.167068624469975,-0.0035464695192519713
2023-08-23,26431.640625,16985265785,37,Fear,10.182317080019136,0.015248455549160767
2023-08-24,26162.373047,12871532023,41,Fear,10.172077514262787,-0.010239565756348767
2023-08-25,26047.667969,12406045118,39,Fear,10.167683521830668,-0.0043939924321190205
2023-08-26,26008.462891,6034817316,38,Fear,10.166177259849043,-0.0015062619816248457
2023-08-27,26089.693359,6913768611,38,Fear,10.169295624861245,0.0031183650122024176
2023-08-28,26106.150391,11002805166,39,Fear,10.169926212715104,0.0006305878538590548
2023-08-29,27727.392578,29368391712,39,Fear,10.230176105267082,0.06024989255197788
2023-08-30,27297.265625,16343655235,49,Neutral,10.214541815900267,-0.015634289366815324
2023-08-31,25931.472656,20181001451,52,Neutral,10.163212670441037,-0.05132914545922951
2023-09-01,25800.724609,17202862221,40,Fear,10.158157856135471,-0.005054814305566424
2023-09-02,25868.798828,10100387473,39,Fear,10.16079284302365,0.0026349868881787586
2023-09-03,25969.566406,8962524523,40,Fear,10.164680608560541,0.0038877655368914077
2023-09-04,25812.416016,10680635106,40,Fear,10.158610896080662,-0.006069712479879641
2023-09-05,25779.982422,11094740040,40,Fear,10.157353594646553,-0.0012573014341086264
2023-09-06,25753.236328,12752705327,42,Fear,10.156315580835258,-0.0010380138112946469
2023-09-07,26240.195313,11088307100,41,Fear,10.175047686361117,0.018732105525858245
2023-09-08,25905.654297,10817356400,46,Fear,10.162216536486378,-0.012831149874738657
2023-09-09,25895.677734,5481314132,41,Fear,10.161831350903993,-0.0003851855823846506
2023-09-10,25832.226563,7899553047,40,Fear,10.159378083032973,-0.0024532678710205147
2023-09-11,25162.654297,14600006467,40,Fear,10.133116201951104,-0.026261881081868665
2023-09-12,25833.34375,18657279324,30,Fear,10.159421329899054,0.026305127947949813
2023-09-13,26228.324219,13072077070,41,Fear,10.174595182867272,0.015173852968217716
2023-09-14,26539.673828,13811359124,45,Fear,10.186396017984002,0.011800835116730468
2023-09-15,26608.693359,11479735788,45,Fear,10.188993259383937,0.002597241399934447
2023-09-16,26568.28125,7402031417,43,Fear,10.18747334904391,-0.001519910340025632
2023-09-17,26534.1875,6774210670,46,Fear,10.186189274857261,-0.0012840741866497751
2023-09-18,26754.28125,15615339655,46,Fear,10.194449786247013,0.008260511389751812
2023-09-19,27211.117188,13807690550,46,Fear,10.21138088892782,0.01693110268080744
2023-09-20,27132.007813,13281116604,47,Neutral,10.208469410028481,-0.0029114788993389595
2023-09-21,26567.632813,13371443708,47,Neutral,10.187448942312175,-0.021020467716306612
2023-09-22,26579.568359,10578746709,43,Fear,10.187898092820102,0.00044915050792759814
2023-09-23,26579.390625,7404700301,47,Neutral,10.187891405932195,-6.686887907392247e-06
2023-09-24,26256.826172,8192867686,44,Fear,10.17568127886164,-0.012210127070554577
2023-09-25,26298.480469,11997833257,47,Neutral,10.177266439652604,0.0015851607909631582
2023-09-26,26217.25,9985498161,46,Fear,10.174172870047572,-0.0030935696050313766
2023-09-27,26352.716797,11718380997,44,Fear,10.179326652905106,0.005153782857533429
2023-09-28,27021.546875,14079002707,46,Fear,10.204389859135322,0.025063206230216295
2023-09-29,26911.720703,10396435377,48,Neutral,10.20031718456038,-0.004072674574942425
2023-09-30,26967.916016,5331172801,47,Neutral,10.202403142699614,0.0020859581392347337
2023-10-01,27983.75,9503917434,48,Neutral,10.23937926354209,0.03697612084247659
2023-10-02,27530.785156,19793041322,50,Neutral,10.223060117744495,-0.016319145797595525
2023-10-03,27429.978516,11407814187,50,Neutral,10.219391800701302,-0.0036683170431928147
2023-10-04,27799.394531,11143355314,49,Neutral,10.23276951998112,0.013377719279818123
2023-10-05,27415.912109,11877253670,48,Neutral,10.218878857720593,-0.013890662260527264
2023-10-06,27946.597656,13492391599,50,Neutral,10.238050741513481,0.01917188379288781
2023-10-07,27968.839844,6553044316,49,Neutral,10.238846306751547,0.0007955652380662315
2023-10-08,27935.089844,7916875290,50,Neutral,10.237638878068497,-0.001207428683050793
2023-10-09,27583.677734,12007668568,50,Neutral,10.224979490318026,-0.01265938775047104
2023-10-10,27391.019531,9973350678,50,Neutral,10.217970484309902,-0.007009006008123819
2023-10-11,26873.320313,13648094333,47,Neutral,10.198889263495364,-0.019081220814538113
2023-10-12,26756.798828,9392909295,45,Fear,10.194543881824908,-0.00434538167045595
2023-10-13,26862.375,15165312851,44,Fear,10.198481887612811,0.003938005787903265
2023-10-14,26861.707031,5388116782,47,Neutral,10.198457020961774,-2.4866651036958842e-05
2023-10-15,27159.652344,7098201980,45,Fear,10.209487781296158,0.011030760334383771
2023-10-16,28519.466797,27833876539,47,Neutral,10.2583421785961,0.048854397299942676
2023-10-17,28415.748047,14872527508,52,Neutral,10.254698779163343,-0.003643399432757377
2023-10-18,28328.341797,12724128586,50,Neutral,10.25161805941367,-0.0030807197496738326
2023-10-19,28719.806641,14448058195,52,Neutral,10.265342290583787,0.013724231170117562
2023-10-20,29682.949219,21536125230,53,Neutral,10.298328059561703,0.03298576897791605
2023-10-21,29918.412109,11541146996,63,Greed,10.306229359456824,0.007901299895120673
2023-10-22,29993.896484,10446520040,53,Neutral,10.308749189412092,0.002519829955268449
2023-10-23,33086.234375,38363572311,53,Neutral,10.406872594953755,0.09812340554166354
2023-10-24,33901.527344,44934999645,66,Greed,10.431215346748903,0.024342751795147777
2023-10-25,34502.820313,25254318008,72,Greed,10.448796347881148,0.017581001132244367
2023-10-26,34156.648438,19427195376,71,Greed,10.438712529447361,-0.010083818433786362
2023-10-27,33909.800781,16418032871,70,Greed,10.431459360168779,-0.007253169278582661
2023-10-28,34089.574219,10160330825,65,Greed,10.436746875144886,0.005287514976107133
2023-10-29,34538.480469,11160323986,72,Greed,10.449829357362928,0.013082482218042202
2023-10-30,34502.363281,17184860315,68,Greed,10.448783101571923,-0.0010462557910049242
2023-10-31,34667.78125,15758270810,66,Greed,10.453566040380862,0.004782938808938653
2023-11-01,35437.253906,22446272005,66,Greed,10.475518915994495,0.021952875613633793
2023-11-02,34938.242188,20998158544,72,Greed,10.461337272977723,-0.014181643016772938
2023-11-03,34732.324219,17158456701,65,Greed,10.455426066015464,-0.00591120696225822
2023-11-04,35082.195313,9561294264,68,Greed,10.465449024716202,0.01002295870073766
2023-11-05,35049.355469,12412743996,70,Greed,10.46451250339209,-0.0009365213241121495
2023-11-06,35037.371094,12693436420,74,Greed,10.464170516379584,-0.0003419870125060953
2023-11-07,35443.5625,18834737789,68,Greed,10.475696921676048,0.011526405296464759
2023-11-08,35655.277344,17295394918,66,Greed,10.481652446976534,0.005955525300485931
2023-11-09,36693.125,37762672382,69,Greed,10.510344686793989,0.02869223981745428
2023-11-10,37313.96875,22711265155,70,Greed,10.527123032844324,0.016778346050335458
2023-11-11,37138.050781,13924272142,70,Greed,10.522397350519183,-0.004725682325140923
