Date,Rolling variance,Scaled Variance
2018-06-16,318153.688815899,0.003942326855785463
2018-06-17,322386.6966259674,0.003995693405300553
2018-06-18,308280.9250886708,0.0038178585443765585
2018-06-19,267391.55225761625,0.003302356367735354
2018-06-20,227440.3761121714,0.002798682262792575
2018-06-21,210254.165372182,0.00258201156252812
2018-06-22,243664.6205903918,0.0030032252225840658
2018-06-23,265888.90703330375,0.0032834121572909154
2018-06-24,286516.406903403,0.0035434680188869733
2018-06-25,302757.2368842555,0.0037482200761068557
2018-06-26,324265.06346784724,0.00401937442871758
2018-06-27,343944.428491169,0.004267476925822511
2018-06-28,366409.41843948077,0.004550698467625719
2018-06-29,369461.1302426759,0.004589172133718097
2018-06-30,359130.2442670041,0.004458928164726568
2018-07-01,344036.2890208326,0.004268635033656169
2018-07-02,316282.69501858193,0.0039187387861179665
